pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
32911988,67.6 ± 5.4 years,85% Caucasian,Prostate cancer receiving ADT,1) confirmed diagnosis of prostate cancer (stage I-IV) with no bone metastases, 2) within six months of starting ADT with an additional six more months planned, 3) suboptimal vitamin D levels (<32 ng/ml), 4) total serum calcium ?10.5 mg/dl, 4) no contraindications for fitness testing,59,1) low-dose vitamin D3 (placebo vitamin D weekly + daily multivitamin containing the RDA for vitamin D: 600 IU/day + 210 mg/day calcium and calcium supplements (800 mg/day)),"2) high-dose vitamin D3 (50,000 IU/week + daily multivitamin containing the RDA for vitamin D: 600 IU/day + 210 mg/day calcium and calcium supplements (800 mg/day))",vitamin D3,,supplementation,,,targeted bisulfite amplification sequencing,suboptimal vitamin D levels (<32 ng/ml),,,,prostate cancer,,,,,,,,,,,,,
32910094,middle-age,female,breast cancer undergoing adjuvant chemotherapy,"women diagnosed with stage I-stage IIIa breast cancer, scheduled for adjuvant chemotherapy; exclusion criteria: advanced disease, heart or lung disease, cognitive dysfunction, other health problems that would prevent safe participation in the exercise testing or training as determined by their medical doctor, or not being able to understand the Swedish language",n = 240,"RT-HIIT (n = 79), attendance rate: 79.5% (SD = 20.3)","AT (n = 81), attendance rate: 82.1% (SD = 17.4)",,,high-intensity interval training (HIIT),information about physical activity,,usual care,usual care (UC),,,,,,,,,,,,,,,,,,,,,
38056900,adult,women,"early-stage breast cancer (ER+/HER2-), Mammprint status (MP1 or MP2)",listed in online supplemental file 1 and detailed in supplement section 2.1 and online supplemental figure S1,6,4,2,"paclitaxel (80 mg/m2) q1w for 12 administrations, doxorubicin-cyclophosphamide (ddAC) intravenous (60 mg/m2 and 600 mg/m2 respectively) q2w for four administrations, durvalumab (1500 mg) intravenous q4w for five administrations, oleclumab (3000 mg) intravenous q2w for four administrations followed by q4w for three administrations","bilateral mediastinal lymphadenectomy (BML), breast conservation or mastectomy with sentinel lymph node evaluation and/or axillary dissection","RT (3 fractions of 8 Gy on 3 consecutive days) to the primary tumor only, adjuvant RT to the breast, chest wall and lymph node regions according to local standards of care for the fractionation schedule; SBRT with MRI-compatible fiducials placed at the borders of the primary tumor",,,glucocorticoids for allergic reactions and immune mediated adverse events management,SLND,,risks of adverse effects (AE),chest drainage duration, air leak duration,invvasiveness of lung resection,pain intensity on each of the 5 postoperative days,,,,,,,,,,,,,,,
38051531,not specified,not specified,advanced colorectal cancer with liver metastasis (LM),not specified,145 patients,durvalumab plus tremelimumab group,best supportive care (BSC) group,durvalumab plus tremelimumab,,,,,best supportive care,best supportive care,,,,decrease in CPA scores upon ICB at week 6,,,,,,,,,,,,,,,,,
38049622,adults,male,"metastatic hormone sensitive prostate cancer (mHSPC), castration-resistant prostate cancer (CRPC)",ongoing androgen deprivation therapy, asymptomatic or mildly symptomatic mCRPC with HRR gene alterations, Eastern Cooperative Oncology Group performance status score of 0 or 1, progressive disease, adequate bone marrow function (hemoglobin ? 9 g/dl), no prior life-prolonging systemic therapy for castration-resistant disease. Prior docetaxel and abiraterone or orteronel in the castration-sensitive setting were allowed.,399,talazoparib (0.5 mg) + enzalutamide,placebo + enzalutamide,"talazoparib 0.5 mg, enzalutamide 160 mg",,,,,ARPI (androgen receptor pathway inhibitor),placebo,no treatment-related deaths,"venous embolic and thrombotic events: 7 patients in talazoparib group, 2 patients in placebo group; pulmonary embolism: 4 cases (1 grade 2, 3 grade 3) in talazoparib group, 2 cases (both grade 3) in placebo group",,"67% confirmed objective response rate (talazoparib group), 40% (placebo group); time to PSA progression, initiation of cytotoxic chemotherapy and investigator-assessed time to progression or death on first subsequent antineoplastic therapy significantly prolonged in the talazoparib group",no cases of myelodysplastic syndrome or acute myeloid leukemia reported,,,,,,,,,,,
38049525,? 18 years,women,triple-negative breast cancer (TNBC),"previously untreated, stage II–III, histologically confirmed TNBC and considered candidates for NAC; no distant metastasis, pregnancy or lactation status, administration of any other antineoplastic treatment concomitant with the study treatment, and unavailability of tumor samples",146 patients,33,33,paclitaxel + carboplatin,definitive surgery,,,,,reference pertuzumab,,,"breast-conserving surgery (BCS) rate, objective response rate (ORR), event-free survival (EFS), disease-free survival (DFS)","total pathological complete response (tpCR) by an independent review committee (IRC), clinical stage III breast cancer, no axillary lymph node involvement, premenopausal","breast pathological complete response (bpCR) by IRC, tpCR/bpCR by the investigator, BCS rate, ORR, EFS, DFS, area under the ROC curve (AUC), accuracy in distinguishing pCR from RD (AUC, 0.886)",,,,,,,,,,,,,,,,
38042812,27-81 years,"109 males, 151 females",Resectable T1-4 lung cancer with hypermetabolic primary tumor and mediastinal-hilar lymph nodes (LN),"Patients with single pulmonary nodule FDG-positive (SUVmax ? 2.5), lesion size > 1.0cm, target LN short axis diameter > 0.5cm; primary lung cancer diagnosis; postoperative pN staging (pN0-2); no anti-tumor therapy before PET/CT or surgery; SND performed with lobectomy; no distant metastasis; good image quality; blood glucose levels < 8.7 mmol/L after fasting for at least 6 hours",n = 260,"Training set, n = 182 (LN-:109, LN+:151)","Test set, n = 78",,curative surgery,behavioral weight loss (BWL),,,radiomics features,self-directed approach,,,,1 clinical factor,"PET/CT radiomics features, conventional PET/CT image features, PET and CT radiomics parameters; FPR decrease by 9.08%, AUC increase by 8.43% (training), 17.11% (test); accuracy increase by 11.69% (training), 16.37% (test); p_value: < 0.05",,,,,,,,,,,,,,,,
32886212,18-75 years,Men,"localized prostate cancer (PCa) with ? cT2a, cN0/X, M0, PSA ? 10 ng/ml, Gleason-Score ? 7a, ECOG performance status 0 or 1, IPSS-Score < 18",predefined quality criteria including a minimum case number for all four treatment concepts and specified PCa characteristics,345,244,101,anlotinib,"open or laparoscopic surgery, including robot-assisted with limited pelvic lymphadenectomy for GS 7a",,1-hour video explaining early-stage prostate cancer treatment procedures and aims of PREFERE,,"EBRT (image guided intensity modulated radiotherapy), PSI (intraoperative real-time control and planning) using J-125 seeds, AS (active surveillance with follow-up including PSA sampling as per EAU guidelines)",placebo,"5 patients died, none of PCa",biochemical progression (8 patients),"2-year rate for GS 6: 35%, GS 7a: 66%, overall: 44%",Kaplan-Maier probabilities for biochemical progression after radical intervention stratified by treatment arm,,,,,,,,,,,,,,,,,
32881572,27-86 years,"32% male, 68% female","various solid tumor cancers including breast, colon/rectum, pancreas, and lung","at least 18 years old, ambulatory, cognitively intact, fluent in English, completed all or most items on PTGI and BFS at baseline",209 participants,,,,,,,structured psychotherapeutic intervention,"Behavioral: BMI < 25 kg/m², ?5 servings of fruits or vegetables/day, ?2 alcoholic drinks/day for men or 1 drink/day for women and ?30 min of moderate or vigorous physical activity/day",randomized controlled trial,,,,,Metabolic measures,,,,,,,,,,,,,,,,
32880094,55 years (SD 7.2 years),67% male,"primary GI cancer; colon cancer (66%), rectal cancer (21%)",adjusted inclusion criterion: patients would be on sick-leave once their treatment started, excluded severe mental disorder or other severe co-morbidities,70,36,34,alpha1-oleate treatment,True,False,"tailored work-related support (A, B, C)",False,usual care,63%,4,no,massive shedding of tumor cells,reduced tumor size, evidence of apoptosis,inhibition of cancer-related genes expression,,,,,,,,,,,,,,
32876479,18 or older,all male (MTurk workers),healthy volunteers,"fluent in English, no knowledge of diabetes or CRC risk, no personal history of diabetes or CRC, <high school educational attainment, health literacy assessed using Newest Vital Sign with cut-off scores ?3 for inadequate and >3 for adequate",7,low health literacy messages,self-affirmation messages,,,,Standard vs Low Literacy Message,Value affirmation task,Information avoidance assessment using Howell and Shepperd’s scale,no self-affirmation intervention,overall survival,,drug response,genomic instability,,,,,,,,,,,,,,,,,
32872748,"51.85 ± 14.55 years (gout), 51.57 ± 14.59 years (control)",78.86% male in both groups,"patients with gout, controls without gout","newly diagnosed patients, excluded those diagnosed in 2007, excluded patients with nail disorders or cancer","179,930 (gout), equal number of controls",gout group,controls without gout,"allopurinol, colchicine, benzbromarone",,,,,Basic skin care including gentle washing and moistening in the head and neck region was performed in both groups.,gout,,frequency of grade ?2 radiation dermatitis, frequency of grade ?3 radiation dermatitis,,,"incidence rate ratio of overall cancers 1.08, HR for association between gout and cancer unadjusted 1.082 (95% CI, 1.059 to 1.105), adjusted HR 1.053; 95% CI, 1.031 to 1.077",,,,,,,,,,,,,,,
32858111,?65 years vs <65 years,not mentioned,resectable pancreatic adenocarcinoma,"Patients with analyzable CA19-9 levels and complete data on diabetes mellitus (DM) status, insulin use, and BMI.",238,"5-FU arm: 43, Gemcitabine arm: 37",not mentioned,5-FU,surgery for resectable pancreatic adenocarcinoma,,,,gemcitabine,5-FU,,,,OS (overall survival) and DFS (disease-free survival): no association between DM/insulin use/BMI categories after adjusting for known prognostic factors,,,,,,,,,,,,,,,,,
32856209,not updated,not updated,malignant disease with moderate or severe cancer pain,"verified malignant disease, aged 18 years or above, self-reported average pain ? 4 last 24 h (assessed on a Numerical Rating Scale (NRS) 0-10), used opioids for moderate or severe cancer pain, and had an expected length of survival of more than 4 weeks. Exclusion criteria were severe pain, defined as 8 or above on the NRS last 24 h; regular corticosteroid use; initiated radiotherapy or systematic cancer treatment in the past 4 weeks; diagnosed with diabetes mellitus, peptic ulcer disease, spinal cord compression, or being in need of bone surgery; and ongoing treatment with non-steroidal anti-inflammatory drugs. Patients with obvious cognitive impairment as judged by the treating physician according to standard criteria (e.g., confusion, disorientation, low attention span and incoherent speech) were also not eligible.",47 patients (25 per group),methylprednisolone 16 mg,placebo,oral morphine,,,,MMSE,,placebo,,,,,,,,,,,,,,,,,,,,,
32812824,?18 years,female breast cancer survivors,CRF (fatigue) in breast cancer survivors,"confirmed diagnosis of breast cancer (stage 0-III), completion of chemotherapy, surgery and/or radiation therapy within 4–36 months, ?18 years of age, presence of CRF (score ? 4 on Symptom Inventory), Karnofsky Performance Status (KPS) score between 80–100",105,fish oil supplementation,soybean oil supplementation,fish oil vs. soybean oil supplementation,"chemotherapy, surgery and/or radiation therapy",,,,lipid supplement administration,soybean oil supplementation,,,"CRF, inflammation and lipids based on obesity status","KPS scores negatively correlated with BMI (p<0.001; 95% C.I. -0.667, -0.264); MFSI General (p=0.020; 95% C.I. 0.024, 0.273) and MFSI Physical (p=0.013; 95% C.I. 0.035, 0.298) subscales showed significant association with obesity; MFSI Vigor (p=0.108; 95% C.I. -0.218, 0.022) and the MFSI-SF Total (p=0.055; 95% C.I. -0.009, 0.873) showed a trend towards significance.; TNF? (p=0.007; 95% C.I. 0.007, 0.044) and IL-6 (p=0.020; 95% C.I. 0.006, 0.073) were elevated in the obese","Proportion of pre-menopausal patients highest among participants with normal weight (29%); obese classes II and III had the highest levels and the normal weight participants had the lowest levels of TNF? and IL-6; monounsaturated fatty acid levels (p=0.047; 95% C.I. 0.000, 0.053) and the omega-6 to omega-3 fatty acid ratio were significantly associated with obesity (p=0.047; 95% C.I. 0.002, 0.322); Oleic acid trended towards significance among groups (p=0.053; 95% C.I. ?0.241, 40.627)",,,,,,,,,,,,,,,,
